Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-03,2484.0,2501.89990234375,2457.5,2467.0,731108,0.0,0.0
2025-11-04,2479.800048828125,2488.89990234375,2390.60009765625,2419.800048828125,2072668,0.0,0.0
2025-11-06,2425.10009765625,2427.10009765625,2307.60009765625,2314.300048828125,1978147,0.0,0.0
2025-11-07,2315.0,2402.5,2291.39990234375,2369.39990234375,2232889,0.0,0.0
2025-11-10,2308.2470703125,2315.13037109375,2291.86279296875,2298.358154296875,577428,0.0,0.0
2025-11-11,2295.74072265625,2306.30810546875,2267.140869140625,2294.5771484375,654132,0.0,0.0
2025-11-12,2311.25244140625,2440.6787109375,2288.954345703125,2408.685546875,6895852,0.0,0.0
2025-11-13,2425.651611328125,2447.94970703125,2392.7861328125,2412.272705078125,2791508,0.0,0.0
2025-11-14,2423.712646484375,2475.77392578125,2405.29248046875,2440.0,4637753,0.0,0.0
2025-11-17,2460.0,2474.89990234375,2421.0,2462.0,2672697,0.0,0.0
2025-11-18,2462.0,2478.60009765625,2434.300048828125,2436.800048828125,1245215,0.0,0.0
2025-11-19,2446.5,2449.89990234375,2413.89990234375,2433.10009765625,774785,0.0,0.0
2025-11-20,2450.10009765625,2478.89990234375,2440.39990234375,2446.10009765625,1526556,0.0,0.0
2025-11-21,2450.0,2456.199951171875,2418.0,2422.300048828125,547541,0.0,0.0
2025-11-24,2426.199951171875,2432.300048828125,2393.10009765625,2399.199951171875,691419,0.0,0.0
2025-11-25,2400.89990234375,2407.699951171875,2325.300048828125,2332.89990234375,2223715,0.0,0.0
2025-11-26,2321.199951171875,2357.0,2310.0,2315.0,1026965,0.0,0.0
2025-11-27,2310.0,2320.5,2243.0,2255.0,1474038,0.0,0.0
2025-11-28,2267.10009765625,2331.0,2247.800048828125,2280.199951171875,3037620,0.0,0.0
2025-12-01,2300.0,2304.0,2257.0,2262.0,1313265,0.0,0.0
2025-12-02,2255.0,2267.199951171875,2232.199951171875,2239.60009765625,1035354,0.0,0.0
2025-12-03,2240.0,2245.0,2172.199951171875,2189.800048828125,1643852,0.0,0.0
2025-12-04,2188.0,2231.699951171875,2183.39990234375,2217.89990234375,2522821,0.0,0.0
2025-12-05,2217.89990234375,2268.60009765625,2202.89990234375,2265.39990234375,2400781,0.0,0.0
2025-12-08,2265.39990234375,2270.39990234375,2205.0,2216.199951171875,939764,0.0,0.0
2025-12-09,2216.199951171875,2257.0,2178.39990234375,2245.199951171875,1227728,0.0,0.0
2025-12-10,2255.800048828125,2267.5,2204.10009765625,2211.60009765625,935149,0.0,0.0
2025-12-11,2225.0,2293.89990234375,2192.39990234375,2277.699951171875,1519832,0.0,0.0
2025-12-12,2277.699951171875,2296.800048828125,2270.199951171875,2282.39990234375,929199,0.0,0.0
2025-12-15,2282.39990234375,2300.0,2273.0,2278.89990234375,573027,0.0,0.0
