Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-06,2427.64990234375,2427.64990234375,2309.949951171875,2313.800048828125,82351,0.0,0.0
2025-11-07,2323.800048828125,2403.75,2292.0,2370.10009765625,61261,0.0,0.0
2025-11-10,2375.5,2387.949951171875,2362.39990234375,2369.050048828125,45508,0.0,0.0
2025-11-11,2368.75,2378.949951171875,2340.0,2366.300048828125,19616,0.0,0.0
2025-11-12,2398.60009765625,2516.0,2364.050048828125,2484.10009765625,188882,0.0,0.0
2025-11-13,2500.0,2523.800048828125,2467.85009765625,2484.75,70226,0.0,0.0
2025-11-14,2504.699951171875,2553.0,2484.75,2516.85009765625,91259,0.0,0.0
2025-11-17,2462.0,2474.800048828125,2421.10009765625,2464.89990234375,92931,0.0,0.0
2025-11-18,2460.0,2478.449951171875,2433.35009765625,2436.550048828125,78095,0.0,0.0
2025-11-19,2440.550048828125,2449.449951171875,2415.0,2431.300048828125,33303,0.0,0.0
2025-11-20,2458.800048828125,2479.85009765625,2440.39990234375,2445.39990234375,54746,0.0,0.0
2025-11-21,2446.300048828125,2455.64990234375,2418.449951171875,2421.60009765625,14897,0.0,0.0
2025-11-24,2424.0,2431.949951171875,2393.199951171875,2398.75,22220,0.0,0.0
2025-11-25,2400.35009765625,2401.0,2326.75,2333.699951171875,48334,0.0,0.0
2025-11-26,2329.949951171875,2356.449951171875,2311.10009765625,2317.050048828125,57161,0.0,0.0
2025-11-27,2314.89990234375,2320.699951171875,2229.64990234375,2249.89990234375,101476,0.0,0.0
2025-11-28,2283.14990234375,2330.050048828125,2247.25,2281.050048828125,121161,0.0,0.0
2025-12-01,2299.949951171875,2305.050048828125,2258.0,2262.550048828125,60789,0.0,0.0
2025-12-02,2259.89990234375,2267.5,2227.85009765625,2239.5,71781,0.0,0.0
2025-12-03,2240.0,2244.550048828125,2172.10009765625,2188.949951171875,74515,0.0,0.0
2025-12-04,2194.25,2231.14990234375,2185.0,2218.800048828125,42399,0.0,0.0
2025-12-05,2213.64990234375,2268.0,2204.0,2265.10009765625,139848,0.0,0.0
2025-12-08,2261.199951171875,2271.85009765625,2205.050048828125,2215.5,35753,0.0,0.0
2025-12-09,2215.5,2257.89990234375,2178.550048828125,2247.64990234375,56305,0.0,0.0
2025-12-10,2255.75,2268.199951171875,2205.14990234375,2210.25,66541,0.0,0.0
2025-12-11,2211.85009765625,2292.75,2191.39990234375,2276.64990234375,54019,0.0,0.0
2025-12-12,2277.699951171875,2296.0,2270.0,2281.85009765625,31644,0.0,0.0
2025-12-15,2280.199951171875,2300.0,2275.0,2279.60009765625,24069,0.0,0.0
2025-12-16,2265.050048828125,2277.10009765625,2233.0,2246.300048828125,43532,0.0,0.0
2025-12-17,2246.5,2255.0,2221.5,2232.050048828125,23617,0.0,0.0
2025-12-18,2227.199951171875,2244.800048828125,2211.5,2228.449951171875,15750,0.0,0.0
2025-12-19,2230.64990234375,2250.39990234375,2210.0,2239.050048828125,18173,0.0,0.0
2025-12-22,2255.050048828125,2273.949951171875,2244.949951171875,2265.14990234375,51949,0.0,0.0
2025-12-23,2265.199951171875,2271.199951171875,2244.050048828125,2247.85009765625,28547,0.0,0.0
2025-12-24,2247.85009765625,2258.75,2218.0,2221.550048828125,29446,0.0,0.0
2025-12-26,2237.89990234375,2250.199951171875,2220.0,2231.85009765625,38384,0.0,0.0
2025-12-29,2230.0,2238.949951171875,2196.85009765625,2203.0,55116,0.0,0.0
2025-12-30,2203.25,2219.10009765625,2196.0,2215.10009765625,42389,0.0,0.0
2025-12-31,2215.10009765625,2246.0,2215.10009765625,2239.5,82262,0.0,0.0
2026-01-01,2246.60009765625,2286.949951171875,2240.050048828125,2257.75,36331,0.0,0.0
2026-01-02,2262.0,2283.0,2259.0,2280.5,25850,0.0,0.0
2026-01-05,2281.199951171875,2303.0,2274.050048828125,2279.35009765625,64496,0.0,0.0
2026-01-06,2280.699951171875,2290.14990234375,2248.64990234375,2258.800048828125,21223,0.0,0.0
2026-01-07,2259.0,2283.0,2243.449951171875,2274.5,19302,0.0,0.0
2026-01-08,2278.949951171875,2278.949951171875,2206.0,2215.0,86164,0.0,0.0
2026-01-09,2202.60009765625,2215.0,2145.0,2153.199951171875,145112,0.0,0.0
2026-01-12,2159.800048828125,2180.0,2119.550048828125,2171.449951171875,72478,0.0,0.0
2026-01-13,2198.25,2198.25,2142.0,2157.699951171875,49711,0.0,0.0
2026-01-14,2157.699951171875,2168.89990234375,2143.0,2154.0,39208,0.0,0.0
2026-01-16,2155.60009765625,2193.449951171875,2150.699951171875,2156.699951171875,94959,0.0,0.0
2026-01-19,2154.800048828125,2156.050048828125,2124.0,2137.25,42940,0.0,0.0
2026-01-20,2136.5,2140.0,2041.050048828125,2056.050048828125,114467,0.0,0.0
2026-01-21,2059.949951171875,2068.949951171875,2005.449951171875,2033.0,81778,0.0,0.0
2026-01-22,2043.199951171875,2102.199951171875,2043.199951171875,2087.5,61314,0.0,0.0
2026-01-23,2060.699951171875,2085.949951171875,1850.0,1862.800048828125,536013,0.0,0.0
2026-01-27,1908.4000244140625,1973.6500244140625,1892.5,1960.3499755859375,313342,0.0,0.0
2026-01-28,1980.050048828125,2004.0,1951.949951171875,1995.6500244140625,142151,0.0,0.0
2026-01-29,2000.5,2028.800048828125,1971.9000244140625,2018.199951171875,128215,0.0,0.0
2026-01-30,2003.5999755859375,2038.4000244140625,1994.0,2019.4000244140625,73791,0.0,0.0
2026-02-02,1980.1500244140625,2001.800048828125,1934.5999755859375,1994.699951171875,53094,0.0,0.0
2026-02-03,2167.449951171875,2232.0,2141.10009765625,2201.699951171875,390678,0.0,0.0
2026-02-04,2229.800048828125,2245.0,2189.89990234375,2228.85009765625,127131,0.0,0.0
2026-02-05,2229.050048828125,2241.0,2210.0,2236.35009765625,91972,0.0,0.0
2026-02-06,2234.89990234375,2238.949951171875,2201.699951171875,2226.550048828125,53938,0.0,0.0
2026-02-09,2241.25,2288.0,2241.25,2249.800048828125,117188,0.0,0.0
2026-02-10,2253.35009765625,2267.89990234375,2172.75,2227.550048828125,119694,0.0,0.0
2026-02-11,2193.60009765625,2236.800048828125,2193.60009765625,2234.39990234375,45878,0.0,0.0
2026-02-12,2233.75,2233.75,2201.10009765625,2211.699951171875,73221,0.0,0.0
2026-02-13,2200.10009765625,2206.300048828125,2125.0,2141.35009765625,70168,0.0,0.0
2026-02-16,2112.10009765625,2189.0,2103.949951171875,2184.64990234375,66255,0.0,0.0
2026-02-17,2173.949951171875,2252.60009765625,2171.10009765625,2242.25,110614,0.0,0.0
2026-02-18,2250.199951171875,2255.0,2189.0,2210.800048828125,60426,0.0,0.0
2026-02-19,2221.449951171875,2221.449951171875,2150.64990234375,2155.64990234375,51199,0.0,0.0
2026-02-20,2168.89990234375,2174.64990234375,2152.050048828125,2160.449951171875,29136,0.0,0.0
2026-02-23,2186.10009765625,2203.10009765625,2156.199951171875,2188.050048828125,48483,0.0,0.0
2026-02-24,2170.050048828125,2201.85009765625,2163.0,2182.35009765625,50543,0.0,0.0
2026-02-25,2197.89990234375,2237.449951171875,2180.25,2231.85009765625,58954,0.0,0.0
2026-02-26,2231.89990234375,2232.050048828125,2200.0,2214.949951171875,54645,0.0,0.0
2026-02-27,2202.050048828125,2215.050048828125,2152.35009765625,2164.800048828125,30931,0.0,0.0
2026-03-02,2040.050048828125,2149.0,2040.050048828125,2123.25,146271,0.0,0.0
2026-03-04,2100.050048828125,2104.64990234375,2038.0,2075.60009765625,70165,0.0,0.0
2026-03-05,2078.35009765625,2100.0,2040.800048828125,2088.449951171875,74467,0.0,0.0
2026-03-06,2085.0,2089.699951171875,2033.449951171875,2038.800048828125,50131,0.0,0.0
2026-03-09,1990.0,2005.8499755859375,1941.5,1999.6500244140625,66158,0.0,0.0
2026-03-10,2022.949951171875,2031.5999755859375,1982.550048828125,1998.1500244140625,63022,0.0,0.0
2026-03-11,2000.9000244140625,2025.9000244140625,1970.9000244140625,1975.300048828125,1385021,0.0,0.0
2026-03-12,1967.949951171875,2026.199951171875,1946.8499755859375,2002.1500244140625,99615,0.0,0.0
2026-03-13,2001.0,2008.050048828125,1945.5999755859375,1960.300048828125,82260,0.0,0.0
2026-03-16,1964.800048828125,1994.0,1946.699951171875,1975.5999755859375,47472,0.0,0.0
2026-03-17,1996.8499755859375,1996.8499755859375,1945.0,1975.300048828125,42696,0.0,0.0
2026-03-18,1994.449951171875,2026.75,1982.25,2007.550048828125,49283,0.0,0.0
2026-03-19,1980.0999755859375,1989.0999755859375,1930.0,1936.949951171875,105586,0.0,0.0
2026-03-20,1952.0,1974.1500244140625,1921.3499755859375,1927.3499755859375,167674,0.0,0.0
2026-03-23,1912.0,1912.050048828125,1820.9000244140625,1832.300048828125,177337,0.0,0.0
2026-03-24,1899.6500244140625,1899.6500244140625,1814.050048828125,1818.9000244140625,5727072,0.0,0.0
2026-03-25,1841.0999755859375,1910.699951171875,1837.550048828125,1886.050048828125,250834,0.0,0.0
2026-03-27,1885.5,1885.5,1817.3499755859375,1822.8499755859375,89841,0.0,0.0
2026-03-30,1818.9000244140625,1837.8499755859375,1753.449951171875,1759.6500244140625,147642,0.0,0.0
2026-04-01,1836.800048828125,1869.449951171875,1802.550048828125,1842.5,210121,0.0,0.0
2026-04-02,1810.0,1843.0,1771.0,1833.550048828125,110651,0.0,0.0
2026-04-06,1833.75,1908.9000244140625,1802.0999755859375,1902.75,108401,0.0,0.0
2026-04-07,1885.199951171875,1904.050048828125,1865.25,1881.300048828125,116945,0.0,0.0
2026-04-08,1991.8499755859375,2089.800048828125,1975.3499755859375,2043.550048828125,216708,0.0,0.0
2026-04-09,2043.550048828125,2064.75,2011.0,2040.0,153084,0.0,0.0
2026-04-10,2049.300048828125,2094.5,2041.8499755859375,2088.199951171875,126261,0.0,0.0
2026-04-13,1963.0999755859375,2157.10009765625,1963.0999755859375,2129.550048828125,293391,0.0,0.0
2026-04-15,2175.10009765625,2199.5,2137.39990234375,2145.199951171875,150960,0.0,0.0
2026-04-16,2169.0,2210.0,2162.0,2205.0,215397,0.0,0.0
2026-04-17,2248.949951171875,2248.949951171875,2186.85009765625,2218.35009765625,217057,0.0,0.0
2026-04-20,2215.449951171875,2280.0,2201.10009765625,2228.0,175135,0.0,0.0
2026-04-21,2239.050048828125,2254.800048828125,2220.199951171875,2225.25,51696,0.0,0.0
2026-04-22,2225.25,2277.699951171875,2225.0,2261.10009765625,62655,0.0,0.0
2026-04-23,2245.0,2333.89990234375,2225.699951171875,2300.5,263051,0.0,0.0
2026-04-24,2306.949951171875,2321.25,2227.0,2286.64990234375,185872,0.0,0.0
2026-04-27,2313.64990234375,2337.0,2287.5,2321.35009765625,105376,0.0,0.0
2026-04-28,2321.35009765625,2420.0,2321.35009765625,2410.85009765625,217193,0.0,0.0
2026-04-29,2434.35009765625,2443.300048828125,2388.25,2424.699951171875,222027,0.0,0.0
2026-04-30,2414.550048828125,2418.75,2327.800048828125,2404.050048828125,361770,0.0,0.0
2026-05-04,2385.199951171875,2514.39990234375,2376.050048828125,2483.550048828125,220708,0.0,0.0
2026-05-05,2480.5,2488.0,2451.699951171875,2476.0,22033,0.0,0.0
