Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-05-02,204.72999572753906,216.36000061035156,203.0,208.47999572753906,8184800,0.0,0.0
2025-05-05,207.2899932861328,213.82000732421875,206.5989990234375,207.77999877929688,2339500,0.0,0.0
2025-05-06,205.11000061035156,208.75,203.58999633789062,207.88999938964844,1868700,0.0,0.0
2025-05-07,208.25999450683594,209.5,203.52999877929688,205.7100067138672,2203100,0.0,0.0
2025-05-08,208.5,211.5,205.8000030517578,208.22000122070312,1552100,0.0,0.0
2025-05-09,208.5,211.0800018310547,204.72000122070312,207.52000427246094,1479900,0.0,0.0
2025-05-12,219.6699981689453,224.35000610351562,218.5050048828125,223.75,2413700,0.0,0.0
2025-05-13,224.33999633789062,232.36000061035156,224.13999938964844,229.52000427246094,1642800,0.0,0.0
2025-05-14,228.0,230.6300048828125,223.90499877929688,224.8800048828125,2016600,0.0,0.0
2025-05-15,220.5399932861328,222.72999572753906,217.4499969482422,220.8800048828125,1737500,0.0,0.0
2025-05-16,220.6999969482422,223.4199981689453,218.74000549316406,220.7899932861328,1731300,0.0,0.0
2025-05-19,215.5800018310547,216.50999450683594,213.72000122070312,214.47000122070312,2742400,0.0,0.0
2025-05-20,214.13999938964844,215.77999877929688,211.4600067138672,214.49000549316406,1779800,0.0,0.0
2025-05-21,214.1699981689453,215.27999877929688,208.6300048828125,209.1699981689453,1718600,0.0,0.0
2025-05-22,208.27000427246094,210.64999389648438,206.4949951171875,208.3699951171875,2389900,0.0,0.0
2025-05-23,203.61000061035156,207.57000732421875,202.79400634765625,206.82000732421875,2037500,0.0,0.0
2025-05-27,209.50999450683594,211.9499969482422,207.52999877929688,211.0800018310547,1720400,0.0,0.0
2025-05-28,211.10000610351562,214.00999450683594,209.7100067138672,213.02999877929688,1587000,0.0,0.0
2025-05-29,215.5,215.5,203.63999938964844,203.92999267578125,2864400,0.0,0.0
2025-05-30,204.3300018310547,207.97999572753906,201.72999572753906,207.6300048828125,3481100,0.0,0.0
2025-06-02,207.0,208.2100067138672,198.5,205.6300048828125,2439300,0.0,0.0
2025-06-03,204.97999572753906,211.24000549316406,203.91000366210938,210.88999938964844,2935800,0.0,0.0
2025-06-04,210.0,214.25,210.0,210.9199981689453,1328600,0.0,0.0
2025-06-05,211.83999633789062,220.42999267578125,210.82000732421875,218.60000610351562,2679500,0.0,0.0
2025-06-06,220.02000427246094,220.5449981689453,214.39999389648438,214.50999450683594,1579600,0.0,0.0
2025-06-09,214.69000244140625,217.3249969482422,212.8730010986328,214.99000549316406,1595000,0.0,0.0
