Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-02,1980.1500244140625,2001.800048828125,1934.5999755859375,1994.699951171875,53094,0.0,0.0
2026-02-03,2167.449951171875,2232.0,2141.10009765625,2201.699951171875,390678,0.0,0.0
2026-02-04,2229.800048828125,2245.0,2189.89990234375,2228.85009765625,127131,0.0,0.0
2026-02-05,2229.050048828125,2241.0,2210.0,2236.35009765625,91972,0.0,0.0
2026-02-06,2234.89990234375,2238.949951171875,2201.699951171875,2226.550048828125,53938,0.0,0.0
2026-02-09,2241.25,2288.0,2241.25,2249.800048828125,117188,0.0,0.0
2026-02-10,2253.35009765625,2267.89990234375,2172.75,2227.550048828125,119694,0.0,0.0
2026-02-11,2193.60009765625,2236.800048828125,2193.60009765625,2234.39990234375,45878,0.0,0.0
2026-02-12,2233.75,2233.75,2201.10009765625,2211.699951171875,73221,0.0,0.0
2026-02-13,2200.10009765625,2206.300048828125,2125.0,2141.35009765625,70168,0.0,0.0
2026-02-16,2112.10009765625,2189.0,2103.949951171875,2184.64990234375,66255,0.0,0.0
2026-02-17,2173.949951171875,2252.60009765625,2171.10009765625,2242.25,110614,0.0,0.0
2026-02-18,2250.199951171875,2255.0,2189.0,2210.800048828125,60426,0.0,0.0
2026-02-19,2221.449951171875,2221.449951171875,2150.64990234375,2155.64990234375,51199,0.0,0.0
2026-02-20,2168.89990234375,2174.64990234375,2152.050048828125,2160.449951171875,29136,0.0,0.0
2026-02-23,2186.10009765625,2203.10009765625,2156.199951171875,2188.050048828125,48483,0.0,0.0
2026-02-24,2170.050048828125,2201.85009765625,2163.0,2182.35009765625,50543,0.0,0.0
2026-02-25,2197.89990234375,2237.449951171875,2180.25,2231.85009765625,58954,0.0,0.0
2026-02-26,2231.89990234375,2232.050048828125,2200.0,2214.949951171875,54645,0.0,0.0
2026-02-27,2202.050048828125,2215.050048828125,2152.35009765625,2164.800048828125,30931,0.0,0.0
2026-03-02,2040.050048828125,2149.0,2040.050048828125,2123.25,146271,0.0,0.0
2026-03-04,2100.050048828125,2104.64990234375,2038.0,2075.60009765625,70165,0.0,0.0
2026-03-05,2078.35009765625,2100.0,2040.800048828125,2088.449951171875,74467,0.0,0.0
2026-03-06,2085.0,2089.699951171875,2033.449951171875,2038.800048828125,50131,0.0,0.0
2026-03-09,1990.0,2005.8499755859375,1941.5,1999.6500244140625,66158,0.0,0.0
2026-03-10,2022.949951171875,2031.5999755859375,1982.550048828125,1998.1500244140625,63022,0.0,0.0
2026-03-11,2000.9000244140625,2025.9000244140625,1970.9000244140625,1975.300048828125,1385021,0.0,0.0
2026-03-12,1967.949951171875,2026.199951171875,1946.8499755859375,2002.1500244140625,99615,0.0,0.0
2026-03-13,2001.0,2008.050048828125,1945.5999755859375,1960.300048828125,82260,0.0,0.0
2026-03-16,1964.800048828125,1994.0,1946.699951171875,1975.5999755859375,47472,0.0,0.0
2026-03-17,1996.8499755859375,1996.8499755859375,1945.0,1975.300048828125,42696,0.0,0.0
2026-03-18,1994.449951171875,2026.75,1982.25,2007.550048828125,49283,0.0,0.0
2026-03-19,1980.0999755859375,1989.0999755859375,1930.0,1936.949951171875,105586,0.0,0.0
2026-03-20,1952.0,1974.1500244140625,1921.3499755859375,1927.3499755859375,167674,0.0,0.0
2026-03-23,1912.0,1912.050048828125,1820.9000244140625,1832.300048828125,177337,0.0,0.0
2026-03-24,1899.6500244140625,1899.6500244140625,1814.050048828125,1818.9000244140625,5727072,0.0,0.0
2026-03-25,1841.0999755859375,1910.699951171875,1837.550048828125,1886.050048828125,250834,0.0,0.0
2026-03-27,1885.5,1885.5,1817.3499755859375,1822.8499755859375,89841,0.0,0.0
2026-03-30,1818.9000244140625,1837.8499755859375,1753.449951171875,1759.6500244140625,147642,0.0,0.0
2026-04-01,1836.800048828125,1869.449951171875,1802.550048828125,1842.5,210121,0.0,0.0
2026-04-02,1810.0,1843.0,1771.0,1833.550048828125,110651,0.0,0.0
2026-04-06,1833.75,1908.9000244140625,1802.0999755859375,1902.75,108401,0.0,0.0
2026-04-07,1885.199951171875,1904.050048828125,1865.25,1881.300048828125,116945,0.0,0.0
2026-04-08,1991.8499755859375,2089.800048828125,1975.3499755859375,2043.550048828125,216708,0.0,0.0
2026-04-09,2043.550048828125,2064.75,2011.0,2040.0,153084,0.0,0.0
2026-04-10,2049.300048828125,2094.5,2041.8499755859375,2088.199951171875,126261,0.0,0.0
2026-04-13,1963.0999755859375,2157.10009765625,1963.0999755859375,2129.550048828125,293391,0.0,0.0
2026-04-15,2175.10009765625,2199.5,2137.39990234375,2145.199951171875,150960,0.0,0.0
2026-04-16,2169.0,2210.0,2162.0,2205.0,215397,0.0,0.0
2026-04-17,2248.949951171875,2248.949951171875,2186.85009765625,2218.35009765625,217057,0.0,0.0
2026-04-20,2215.449951171875,2280.0,2201.10009765625,2228.0,175135,0.0,0.0
2026-04-21,2239.050048828125,2254.800048828125,2220.199951171875,2225.25,51696,0.0,0.0
2026-04-22,2225.25,2277.699951171875,2225.0,2261.10009765625,62655,0.0,0.0
2026-04-23,2245.0,2333.89990234375,2225.699951171875,2300.5,263051,0.0,0.0
2026-04-24,2306.949951171875,2321.25,2227.0,2286.64990234375,185872,0.0,0.0
2026-04-27,2313.64990234375,2337.0,2287.5,2321.35009765625,105376,0.0,0.0
2026-04-28,2321.35009765625,2420.0,2321.35009765625,2410.85009765625,217193,0.0,0.0
2026-04-29,2434.35009765625,2443.300048828125,2388.25,2424.699951171875,222027,0.0,0.0
2026-04-30,2414.550048828125,2418.75,2327.800048828125,2404.050048828125,361770,0.0,0.0
